(0, 0)
(0, 1)
(0, 2)
(0, 3)
(0, 4)
(0, 5)
(0, 6)
(0, 7)
(0, 8)
(0, 9)
(0, 10)
(0, 11)
(0, 12)
(0, 13)
(0, 14)
(0, 15)
(0, 16)
(0, 17)
(0, 18)
(0, 19)
(0, 20)
(0, 21)
(0, 22)
(0, 23)
(0, 24)
(0, 25)
(0, 26)
(0, 27)
(0, 28)
(0, 29)
(0, 30)
(0, 31)
(0, 32)
(0, 33)
(0, 34)
(0, 35)
(0, 36)
(0, 37)
(0, 38)
(0, 39)
(0, 40)
(0, 41)
(0, 42)
(0, 43)
(0, 44)
(0, 45)
(0, 46)
(0, 47)
(0, 48)
(0, 49)
(0, 50)
(0, 51)
(0, 52)
(0, 53)
(1, 0)
(1, 53)
(2, 0)
(2, 2)
(2, 3)
(2, 4)
(2, 9)
(2, 10)
(2, 11)
(2, 13)
(2, 14)
(2, 15)
(2, 16)
(2, 17)
(2, 18)
(2, 19)
(2, 20)
(2, 21)
(2, 22)
(2, 23)
(2, 24)
(2, 25)
(2, 26)
(2, 27)
(2, 28)
(2, 29)
(2, 30)
(2, 31)
(2, 32)
(2, 33)
(2, 34)
(2, 35)
(2, 36)
(2, 37)
(2, 38)
(2, 39)
(2, 40)
(2, 42)
(2, 43)
(2, 45)
(2, 46)
(2, 47)
(2, 48)
(2, 49)
(2, 50)
(2, 51)
(2, 53)
(3, 0)
(3, 2)
(3, 3)
(3, 4)
(3, 9)
(3, 10)
(3, 11)
(3, 13)
(3, 14)
(3, 15)
(3, 16)
(3, 17)
(3, 18)
(3, 19)
(3, 20)
(3, 21)
(3, 22)
(3, 23)
(3, 24)
(3, 25)
(3, 26)
(3, 27)
(3, 28)
(3, 29)
(3, 30)
(3, 31)
(3, 32)
(3, 33)
(3, 34)
(3, 35)
(3, 36)
(3, 37)
(3, 38)
(3, 39)
(3, 40)
(3, 42)
(3, 43)
(3, 45)
(3, 46)
(3, 47)
(3, 48)
(3, 49)
(3, 50)
(3, 51)
(3, 53)
(4, 0)
(4, 2)
(4, 3)
(4, 4)
(4, 9)
(4, 10)
(4, 11)
(4, 42)
(4, 43)
(4, 53)
(5, 0)
(5, 2)
(5, 3)
(5, 4)
(5, 5)
(5, 6)
(5, 7)
(5, 8)
(5, 9)
(5, 10)
(5, 11)
(5, 13)
(5, 14)
(5, 15)
(5, 16)
(5, 17)
(5, 19)
(5, 20)
(5, 21)
(5, 22)
(5, 23)
(5, 24)
(5, 25)
(5, 26)
(5, 27)
(5, 28)
(5, 29)
(5, 30)
(5, 31)
(5, 32)
(5, 33)
(5, 34)
(5, 36)
(5, 37)
(5, 38)
(5, 39)
(5, 40)
(5, 42)
(5, 43)
(5, 45)
(5, 46)
(5, 47)
(5, 48)
(5, 49)
(5, 50)
(5, 51)
(5, 53)
(6, 0)
(6, 2)
(6, 3)
(6, 4)
(6, 5)
(6, 6)
(6, 7)
(6, 8)
(6, 9)
(6, 10)
(6, 11)
(6, 13)
(6, 14)
(6, 15)
(6, 16)
(6, 17)
(6, 36)
(6, 37)
(6, 38)
(6, 39)
(6, 40)
(6, 42)
(6, 43)
(6, 45)
(6, 46)
(6, 47)
(6, 48)
(6, 49)
(6, 50)
(6, 51)
(6, 53)
(7, 0)
(7, 16)
(7, 17)
(7, 19)
(7, 20)
(7, 21)
(7, 22)
(7, 24)
(7, 25)
(7, 26)
(7, 27)
(7, 28)
(7, 29)
(7, 31)
(7, 32)
(7, 33)
(7, 34)
(7, 36)
(7, 37)
(7, 53)
(8, 0)
(8, 2)
(8, 3)
(8, 4)
(8, 6)
(8, 7)
(8, 8)
(8, 9)
(8, 10)
(8, 11)
(8, 13)
(8, 14)
(8, 16)
(8, 17)
(8, 19)
(8, 20)
(8, 21)
(8, 22)
(8, 24)
(8, 25)
(8, 26)
(8, 27)
(8, 28)
(8, 29)
(8, 31)
(8, 32)
(8, 33)
(8, 34)
(8, 36)
(8, 37)
(8, 39)
(8, 40)
(8, 41)
(8, 42)
(8, 43)
(8, 44)
(8, 46)
(8, 47)
(8, 48)
(8, 49)
(8, 50)
(8, 51)
(8, 53)
(9, 0)
(9, 2)
(9, 3)
(9, 4)
(9, 6)
(9, 7)
(9, 8)
(9, 9)
(9, 10)
(9, 11)
(9, 53)
(10, 0)
(10, 2)
(10, 3)
(10, 4)
(10, 6)
(10, 7)
